X,Y,Name,description,address,artist,class,classifica,contactage,contactpho,date_made,descriptio,dimensions,general_no,gis_editor,gis_id,in_row,link_1,link_2,link_3,location,locator,mat_1,materials,park_name,pic_1,pic_2,pic_3,pma,pubart_row,reserved_i,reserved_t,sac_id,subtype,title,x_coord,y_coord
,,,,"Thornton Creek Water Quality Channel  NE 103rd St and 5th Ave NE  Seattle, WA  98125","Shaw, Benson",,3 sculptures,Seattle Office of Arts & Cultural Affairs,206-684-7171,2010,"Three Wiggle Post sculptures, between 25- and 35-feet tall, rise from the top surface of a seat wall.",,,SDOT,403,Y,,,,SW corner,,"Galvanized steel, aluminum cast urethane resin, confetti, glass acrylic, miscellaneous fasteners","Galvanized steel, aluminum cast urethane resin, confetti, glass acrylic, miscellaneous fasteners",,,,,0,,0,,SPU10.022,,SURGE:  WIGGLE POSTS vignette,1273607.15141294,260034.4928623
,,,,30th Ave NE & Lake City Way NE,"Sorey, Paul",,1 sculpture,Seattle Office of Arts & Cultural Affairs,206-684-7171,2006,A sculpture with curvilinear forms that suggest the form of a coffee pot.,"156""h x 216""w x 120""d",,SDOT,420,Y,,,,Southwest corner,,"Stainless steel, stone, glass, metal-halide lighting","Stainless steel, stone, glass, metal-halide lighting",,,,,0,,0,,ST06.063,,Coffee Pot Pergola,1280224.97695572,264919.2593313
,,,,S. Cloverdale St & 14th Ave S,"Fields, Gregory",,Pillar,Seattle Office of Arts & Cultural Affairs,206-684-7171,2009,8' pillar faced with handmade tiles,"Pillar: 10"" x 10"" x 8’ tall",,SDOT,425,Y,,,,,,Glazed ceramic tile,Glazed ceramic tile,,,,,0,,0,,ST09.099,,Convergence,1274394.38494974,195553.44601227
,,,,S. Director St & 14th Ave S,"Fields, Gregory",,Pillar,Seattle Office of Arts & Cultural Affairs,206-684-7171,2009,8' pillar faced with handmade tiles,"Pillar: 10"" x 10"" x 8’ tall",,SDOT,426,Y,,,,,,Glazed ceramic tile,Glazed ceramic tile,,,,,0,,0,,ST09.099,,Convergence,1274347.2333337,194019.1586507
,,,,BROADWAY AND YESLER WAY,"Fitch, Claudia",,,,,2013,1 Pole,,Three beaded poles near Broadway and Yesler Way (Yesler Terrace),SDOT,0,Y,,,,"Near Yesler Way & Broadway  Seattle, WA  98104",,,,,,,,0,,0,,ST13.068.01,,Beaded Poles,0,0
,,,,52ND AVE S AND DEAD END 4,"Michael, Yegisaw (Yeggy)",,,,,2014,"The artwork consists of more than 450 multi-colored inlayed concrete and stainless steel circles or “dots”, flowing between two sections of concrete pipes at the north and south end of the Mapes Creek walkway pa",,,SDOT,0,Y,,,,"52nd Ave walkway (Mapes Creek walkway) between S Fisher Pl. and S Henderson St.  Seattle, WA  98118",,,,,,,,0,,0,,SPU14.007,,Motion,0,0
,,,,Alki Ave SW & 54th Pl SW,"Feddersen, Joe; Fels, Donald; Smith, Jaune Quick-To-See",,1 viewing device,Seattle Office of Arts & Cultural Affairs,206-684-7171,1998,"1 stainless steel viewing device, stone/concrete inset in sidewalk on promenade",,,SDOT,341,N,,,,Near 54th and Alki,,,,,,,,0,,0,,PR99.046,,Viewers,1253282.01398413,216498.64667371
,,,,24th Ave SW between SW Elmgrove St and SW Thistle St,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,392,Y,,,,West side of the street,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262497.2655776,196785.85305357
,,,,Puget Blvd SW between 26th Ave SW and 28th Ave SW,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,399,Y,,,,South side of the street near intersection of Puget Blvd and 26th,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262249.43184935,206321.69856733
,,,,1801 WESTLAKE,"Beres, Ben; Sutton, John; Culler, Zac",,,,,2009,"The artwork is a subterranean sculpture of a neon double helix.  It is viewed from above througj a sandblasted glass manhole cover set in the sidewalk plane.  The sculpture consists of two spirals, one red and one b",,,SDOT,0,Y,,,,"South Lake Union Streetcar Route Westlake Hub  near  Stewart St & Westlake Ave Seattle, WA   98101",,,,,,,,0,,0,,ST09.120,,Sequence/Consequence,0,0
,,,,23rd Ave SW between SW Willow St and SW Myrtle St,"de Lory, Peter",,2 signposts with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,2 signposts with sign images of flora,,,SDOT,376,Y,,,,Two artwork signposts on the west side of 23rd Ave SW between SW Willow St and SW Myrtle St,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262864.53776997,200886.28492977
,,,,"5354 Ballard Ave NW  Seattle, WA  98107","Washington Jr., James",,Inlay in sidewalk,Seattle Office of Arts & Cultural Affairs,206-684-7171,1978,Rectangular piece of red granite with pre-historic fish carved into the surface.,"12x18""",,SDOT,180,Y,,,,,,Red granite,Red granite,,,,,0,,0,,CL78.104,,Coelacanths,1258380.82069378,247207.37358905
,,,,26th Ave SW between Puget Blvd SW and SW Brandon St,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,386,Y,,,,Near northeast corner of 26th and Brandon,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262083.58442517,206007.92986301
,,,,24th Ave SW & SW Kenyon St,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,388,Y,,,,South side of the intersection,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262503.72765757,197769.52947054
,,,,2505 1st Ave,"Mackie, Jack; Simpson, Lewis ""Buster""",,2 bollards,Seattle Office of Arts & Cultural Affairs,206-684-7171,1985-1991,"2 sandstone bollards: (cylindrical, 1 of the bollards has a worker's cap)",,,SDOT,211,Y,,,,West side of 1st Ave near 2505 1st Ave,,,,,,,,0,,0,,CL86.045,,Street Treatment,1266634.56452667,227894.19146526
,,,,2617 2nd Ave,"Kiefer, Kurt H.",,"1 bench, 1 brackets/light fixture on pole",Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,"1 ""Donnage"" bench w/ fiberglass top and 4 x 4 recycled brown plastic lumber base), 1 brackets with light fixture on light pole",,,SDOT,261,Y,,,,,,,,,,,,0,,0,,ED96.030,,Street Treatment,1266598.32989209,228362.57306531
,,,,Eastlake Ave E & E Roanoke St,"Levy, Stacy",,3 insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,1997,"Three 24"" x 24"" x 2"" stone and glass tile insets in the sidewalk intersection.  Stone center sandblasted with image of microorganism.  Glass part of tile cast with name of the particular intersection.",,,SDOT,271,Y,,,,"NE, SE, SW corners",,Cast glass tiles and WA State Wilkensen Sandstone,Cast glass tiles and WA State Wilkensen Sandstone,,,,,0,,0,,ED98.025a-ff (S,,Cornerstones,1272508.91064381,238184.07031192
,,,,Eastlake Ave E & E Edgar St,"Levy, Stacy",,2 insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,1997,"Two 24"" x 24"" x 2"" stone and glass tile insets in the sidewalk intersection.  Stone center sandblasted with image of microorganism.  Glass part of tile cast with name of the particular intersection.",,,SDOT,275,Y,,,,SE and SW corners,,Cast glass tiles and WA State Wilkensen Sandstone,Cast glass tiles and WA State Wilkensen Sandstone,,,,,0,,0,,ED98.025a-ff (S,,Cornerstones,1272519.13963582,238659.09597641
,,,,"Interurban Trail between N 110th St & Fremont Ave N and N 128th St & Linden Ave N  Seattle, WA  9813","Dixon, Jennifer",,Installation of five sets of poles with images,Seattle Office of Arts & Cultural Affairs,206-684-7171,2008,Five 15-piece sets of poles with photographic images mounted on top,"Five sets. Each 15 piece set: 8+'h x 18-24in.w x 12 - 18""d.Each set approximately 150 long adjacent to trail.",Located on a trail.,SDOT,423,Y,,,,,,"Steel, photographic images","Steel, photographic images",,,,,0,,0,,ST08.009,,Flipbooks,1267389.47345461,263163.78931354
,,,,14th Ave S between S Concord St & S Trenton St,"Fields, Gregory",,Sidewalk insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,2009,"Inset strips of 6"" square handcarved tile inset in the sidewalk on both sides of the street.","Sidewalk tiles: 7.25"" x 38-83""",,SDOT,429,Y,,,,Both sides of the street,,Glazed ceramic tile,Glazed ceramic tile,,,,,0,,0,,ST09.099,,Convergence,1274370.61662975,194779.05983551
,,,,100 Yesler Way,"Heap Of Birds, Hachivi Ed",,Two panels with text installed on either side of a,Seattle Office of Arts & Cultural Affairs,206-684-7171,1991-1992,Two panels with text.,"42"" X 84"" each",In the ROW?,SDOT,212,Y,,,,South side of Pioneer Square Park in the plaza next to the sidewalk,,Porcelain enamel on steel panel,Porcelain enamel on steel panel,,,,,0,,0,,"CL91.015a,b",,Day/Night,1270173.02983009,223130.44648897
,,,,Lake City Way NE between NE 125th St & NE 127th St,"Sweeney, Michael",,"1 ""boulder"" sculpture with 1 steel arc form on gro",Seattle Office of Arts & Cultural Affairs,206-684-7171,1979 - 1980,"1 ""boulder"" sculpture with 1 steel arc form on ground nearby",,,SDOT,217,Y,,,,On median strip near 12543 Lake City Way NE,,"Concrete, wire, painted steel","Concrete, wire, painted steel",,,,,0,,0,,ED80.053,,Lake City Gateway,1280729.43340427,266116.41050056
,,,,Rainier Ave S & S Orcas St,"Nakamura, Stuart",,Two pillars and 24 bronze plaques surrounding them,Seattle Office of Arts & Cultural Affairs,206-684-7171,2001,Two painted steel pillars with various images and proverbs.  24 bronze plaques inscribed with proverbs are installed around the concrete base of the pillars.,,,SDOT,290,Y,,,,Two pillars:  NW and SE corners,,"Painted steel, bronze plaques","Painted steel, bronze plaques",,,,,0,,0,,GCK03.012.01-.0,,Wit and Wisdom,1283764.28115134,204399.44154133
,,,,Rainier Ave S & S Lucile St,"Nakamura, Stuart",,One gateway piece,Seattle Office of Arts & Cultural Affairs,206-684-7171,2001,Cast concrete gateway piece,,,SDOT,291,Y,,,,NW corner,,Cast concrete,Cast concrete,,,,,0,,0,,GCK03.012.01-.0,,Wit and Wisdom,1283571.76428714,204945.21050188
,,,,1st Ave between Blanchard St & Bell St,"Mackie, Jack; Simpson, Lewis ""Buster""",,"21 pavers, 2 benches, 1 inset",Seattle Office of Arts & Cultural Affairs,206-684-7171,1985-1991,"21 stone pavers in sidewalk (southwest corner of 1st Ave & Bell); 2 benches; 1 ""horse shoe"" inset in sidewalk at southwest corner of Bell & 1st Ave",,,SDOT,204,Y,,,,1st Ave on west side between Blanchard St. and Bell St.  Pavers and horseshoe inset are located at southwest corner of 1st Ave & Bell St.,,,,,,,,0,,0,,CL86.045,,Street Treatment,1267368.97745459,227266.48681277
,,,,Alki Ave SW & 55th Ave SW,"Feddersen, Joe; Fels, Donald; Smith, Jaune Quick-To-See",,"Pavers; bronze inset",Seattle Office of Arts & Cultural Affairs,206-684-7171,1996-97,"Pavers consisting of sandblasted text and images on promenade in sidewalk, bronze inset in concrete on promenade",,In the ROW?,SDOT,327,Y,,,,Near 55th and Alki on the promenade plaza,,,,,,,,0,,0,,PR97.004,,Untitled,1253149.80124799,216402.30337762
,,,,1st Ave between Virginia St & Lenora St,"Mackie, Jack; Simpson, Lewis ""Buster""",,1 bench,Seattle Office of Arts & Cultural Affairs,206-684-7171,1985-1991,1 sandstone bench inserted in wall surrounding planting,,,SDOT,200,Y,,,,2021 1st Ave or north adjacent lot,,,,,,,,0,,0,,CL86.045,,Street Treatment,1267999.34724723,226692.96886019
,,,,NE 105th St between 5th Ave NE & 8th Ave NE,"Wysong, Linda",,5 sculptural elements,Seattle Office of Arts & Cultural Affairs,206-684-7171,2006,"Three sculptural birdhouses, two tree form sculptures.","Birdhouses:  each at 16""h x 16""w x 108"".  Treeforms:  #1: 19""h x 24"" x 20"" #2: 19""h x 16"" x 42"".",,SDOT,422,N,,,,Pedestrian path on the slope south of the Northgate Community Center,,"Birdhouses:  stand-bend pipe, stainless steel base.  hammered copper and granite.","Birdhouses:  stand-bend pipe, stainless steel base.  hammered copper and granite.",,,,,0,,0,,ST06.066.01-.03,,Perch,1273945.17842132,260687.068863
,,,,Broadway Ave E between E Denny St & E John St,"Mackie, Jack",,Inlays,,,1982,Inlaid bronze footprints and dance instructions for the Tango dance steps,,No GIS # was assigned,SDOT,0,Y,,,,East side and west side of Broadway Ave E,,,,,,,,0,,0,,ED82.100a-h,,Dancer's Series: Steps,0,0
,,,,BROADWAY AND E HOWELL ST,"Fitch, Claudia",,,,,2013,1 Pole,,,SDOT,0,Y,,,,"Near Broadway and E. Howell St. Seattle, WA  98122",,,,,,,,0,,0,,ST13.068.06,,Beaded Poles,0,0
,,,,,"Fitch, Claudia",,,,,2013,"Beaded poles, loop stitch bollards, eye of the needle pole caps at various locations from Pioneer Square to Capitol Hill",,Point is location of one Pole Cap.,SDOT,0,Y,,,,Along Broadway from E Yesler Way to E Howell St and Along Yesler Way from 12th ave to 15th ave,,,,,,,,0,,0,,ST13.068.07,,Eye of the Needle Pole Caps,0,0
,,,,BROADWAY AND XW E OLIVE S,"Fitch, Claudia",,,,,2014,Blue Loop Stitch Traffic Bollards,,,SDOT,0,Y,,,,"On Broadway between E. Pine St. and E. Howell St. and between Yeslser and E Spruce St  Seattle, WA  98122",,,,,,,,0,,0,,NON-SAC ST13.07,,Stitch Bollards,0,0
,,,,28TH AVE NE AND NE 130TH ST,"Hsu, Joyce",,,,,2013 - 2014,Three sculptures are sited in three different locations near elementary schools.  The sculptures  portray different migration birds in flight.  .01:   Olympic Hills location:  Northern Flicker.,,,SDOT,0,Y,,,,ST14.004.01:  NE 130th St & 28th Ave NE,,,,,,,,0,,0,,ST14.004.01,,Flyways,0,0
,,,,BEACON ER AVE S AND S DAWSON ST,"Webb, Dan",,,,,2012,Each of two sculptures depict a winged bicycle rider rising from a cloud on top of a column.,,,SDOT,0,Y,,,,On Chief Sealth Trail. E side of Beacon,,,,,,,,0,Y,0,,ST12.053,,Cloud Rider,0,0
,,,,"N 135TH ST AND LINDEN AVE N, SEATTLE","Dixon, Jennifer",,,,,2013,PlayLand consists of repurposed Seattle Department of Transportation (SDOT) road signs used to create a large colorful collage that mimics the contour of a roller coaster.,,,SDOT,0,Y,,,,"Just north of North 135th Ave. on Linden Ave. N on the east side of the street.  Seattle, WA  98133",,,,,,,,0,Y,0,,ST13.060,,Playland,0,0
,,,,10th Ave S. and S. Jackson St.,Claudia Fitch,,Installatin,Seattle Office of Arts & Cultural Affairs,206-684-7171,2014,One beaded pole (Little Saigon neighborhood). Note:  certain elements of the artwork were completed in 2013 but the entire artwork was actually completed in 2014.,,,SIT,0,Y,,,,"Near 10th Ave S. and S. Jackson St. Seattle, WA 98104",,,,,,,,0,,0,,ST13.068.07,,"Beads Along a Thread:  Beaded Poles, Loop Stitch Bollards, Eye of the Needle Poles",0,0
,,,,E. Yesler Way between 12th Ave. S. and 14th Ave. S.,Claudia Fitch,,Installation,Seattle Office of Arts & Cultural Affairs,206-684-7171,2014,"Sixteen ""Eye of the Needle Pole Caps"" in five locations.",,,SIT,0,Y,,,,"Along the north side of E. Yesler Way between 12th Ave. S. and 14th Ave. S.  Seattle, WA 98122",,,,,,,,0,,0,,ST13.068.10-.25,,"Beads Along a Thread:  Beaded Poles, Loop Stitch Bollards, Eye of the Needle Poles",0,0
,,,,Alki Ave SW & 60th Ave S,"Feddersen, Joe; Fels, Donald; Smith, Jaune Quick-To-See",,Plaques/medallions on concrete bollards,Seattle Office of Arts & Cultural Affairs,206-684-7171,1997,Bronze plaques and medallions on concrete bollards which borders stairs down to the water at the sandy beach area,,In the ROW?,SDOT,337,N,,,,Near 60th and Alki by stairs going down to the water at the sandy beach,,,,,,,,0,,0,,PR99.045,,Bronze Plaques and Medallions,1251467.37846227,215370.34126456
,,,,Alki Ave SW & 63rd Ave S,"Feddersen, Joe; Fels, Donald; Smith, Jaune Quick-To-See",,Plaques/medallions on concrete bollards,Seattle Office of Arts & Cultural Affairs,206-684-7171,1997,Bronze plaques and medallions on concrete bollards which borders stairs down to the water at the sandy beach area,,In the ROW?,SDOT,339,N,,,,Near 63rd and Alki by stairs down to the water at the sandy beach area,,,,,,,,0,,0,,PR99.045,,Bronze Plaques and Medallions,1250483.99388526,214969.64110415
,,,,SW Barton St between 26th Ave SW and 29th Ave SW,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,396,Y,,,,South side of the street,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1261257.90544833,193836.86623454
,,,,Westlake Ave & Stewart St,"Beres, Ben; Sutton, John; Culler, Zac",,Subterranean sculpture in McGraw Square,Seattle Office of Arts & Cultural Affairs,206-684-7171,2009,1 subterranean sculpture of a neon double helix.,,,SDOT,431,Y,,,,,,,,,,,,0,,0,,ST09.120,,Sequence/Consequence,1269450.54340868,227338.70786882
,,,,SW Webster St & 24th Ave SW,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,374,Y,,,,West side of intersection near Webster Retention Basin,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262540.78877761,199097.0763519
,,,,SW Juneau St between 26th Ave SW & 28th Ave SW,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,377,Y,,,,North side of the street,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1261968.13341706,204437.9402294
,,,,24th Ave SW between SW Willow St and SW Myrtle St,"de Lory, Peter",,1 signpost with sign images of flora,Seattle Office of Arts & Cultural Affairs,206-684-7171,2004,1 signpost with sign images of flora,,,SDOT,382,Y,,,,East side of the street,,"Steel, porcelain enamel","Steel, porcelain enamel",,,,,0,,0,,SPU05.024,,Longfellow Creek Legacy Trail Way Finding Signs,1262604.16624971,200870.01798575
,,,,1st Ave between Bell St & Battery St,"Mackie, Jack; Simpson, Lewis ""Buster""",,"3 boulders, sandstone blocks on pallet",Seattle Office of Arts & Cultural Affairs,206-684-7171,1985-1991,"3 quartzite boulders, 2 have one polished face (near corner of building just south of Battery Tunnel Overpass); blocks of sandstone on galvanized pallet at Battery Tunnel Overpass",,,SDOT,206,Y,,,,"Battery Tunnel Overpass (blocks of sandstone); 3 boulders (near corner of building that is just south of Battery Tunnel Overpass)",,,,,,,,0,,0,,CL86.045,,Street Treatment,1267053.77579026,227553.02242906
,,,,Eastlake Avenue E between E Boston St & E Lynn St,"Beaumont, Linda; Keeler, Stuart; Machnic, Michael",,1 sculpture,Seattle Office of Arts & Cultural Affairs,206-684-7171,1997,1 sculpture in the shape of an upside-down kayak (made of fiberglass) with oars resting on tall metal support columns,"11' X 17' 6"" X 1' 6""",,SDOT,269,Y,,,,Near 2208 Eastlake Ave E on east side of street,,"Fiberglass (kyak), steel for support columns. Fiberglass, fabricated steel, mosaic, slate, stained concrete","Fiberglass (kyak), steel for support columns. Fiberglass, fabricated steel, mosaic, slate, stained concrete",,,,,0,,0,,ED98.024a-c (SP,,Dreamboats,1272477.54814781,236651.06167039
,,,,21st Ave between E Fir St & E Spruce St,"Beres, Ben; Sutton, John; Culler, Zac",,Sidewalk insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,2010,"A series of etched, stained and antiqued ""picture frames"" stamped into the sidewalk plane.",Sizes vary,,SDOT,319,Y,,,,In sidewalk by Spruce Park,,"Stamped concrete, concrete stain and sealant","Stamped concrete, concrete stain and sealant",,,,,0,,0,,NON-SAC ST10.01,,Salon (Spruce Park),1277366.82501683,223461.02453688
,,,,2412 2nd Ave,"Kiefer, Kurt H.",,3 insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,3 faux plank insets in sidewalk,,,SDOT,231,Y,,,,,,Faux plank insets:  tinted concrete,Faux plank insets:  tinted concrete,,,,,0,,0,,ED96.030,,Street Treatment,1267100.46636365,227986.86203365
,,,,2421 2nd Ave,"Kiefer, Kurt H.",,1 bench,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,"1 ""Sawhorse"" bench in the shape of a sawhorse w/ fiberglass top and steel base",,,SDOT,234,Y,,,,,,,,,,,,0,,0,,ED96.030,,Street Treatment,1267042.72106942,227958.28706166
,,,,2415 2nd Ave,"Kiefer, Kurt H.",,1 brackets/light fixture on pole,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,1 brackets with light fixture on light pole,,,SDOT,237,Y,,,,,,,,,,,,0,,0,,ED96.030,,Street Treatment,1267055.74198472,227946.43715933
,,,,2312 2nd Ave,"Kiefer, Kurt H.",,"4 insets, 1 brackets/light fixture on pole",Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,"3 faux plank insets in sidewalk, 1 ""welcome mat"" inset in sidewalk, 1 brackets with light fixture on light pole",,,SDOT,241,Y,,,,,,"Faux plank insets:  tinted concrete; ""Welcome mat"":  steel treadplate, tinted concrete","Faux plank insets:  tinted concrete; ""Welcome mat"":  steel treadplate, tinted concrete",,,,,0,,0,,ED96.030,,Street Treatment,1267402.14978728,227711.64571727
,,,,2224 2nd Ave,"Kiefer, Kurt H.",,1 brackets/light fixture on pole,Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,1 brackets with light fixture on light pole,,,SDOT,243,Y,,,,,,,,,,,,0,,0,,ED96.030,,Street Treatment,1267681.48006295,227458.19861191
,,,,2106 2nd Ave,"Kiefer, Kurt H.",,"7 insets, 1 brackets/light fixture on pole",Seattle Office of Arts & Cultural Affairs,206-684-7171,1994-96,"7 faux plank insets in sidewalk, 1 ""welcome mat"" inset in sidewalk",,,SDOT,254,Y,,,,,,"Faux plank insets:  tinted concrete; ""Welcome mat"":  steel treadplate, tinted concrete","Faux plank insets:  tinted concrete; ""Welcome mat"":  steel treadplate, tinted concrete",,,,,0,,0,,ED96.030,,Street Treatment,1268051.15482374,227121.8764386
,,,,Eastlake Ave E & E Hamlin St,"Levy, Stacy",,4 insets,Seattle Office of Arts & Cultural Affairs,206-684-7171,1997,"Four 24"" x 24"" x 2"" stone and glass tile insets in the sidewalk intersection.  Stone center sandblasted with image of microorganism.  Glass part of tile cast with name of the particular intersection.",,,SDOT,274,Y,,,,"NE, NW, SE, SW corners",,Cast glass tiles and WA State Wilkensen Sandstone,Cast glass tiles and WA State Wilkensen Sandstone,,,,,0,,0,,ED98.025a-ff (S,,Cornerstones,1272528.01745983,239071.39012083
,,,,Eastlake Ave E & E Howe St,"Levy, Stacy",,2 insest,Seattle Office of Arts & Cultural Affairs,206-684-7171,1997,"Two 24"" x 24"" x 2"" stone and glass tile insets in the sidewalk intersection.  Stone center sandblasted with image of microorganism.  Glass part of tile cast with name of the particular intersection.",,,SDOT,287,Y,,,,SE  and SW corners,,Cast glass tiles and WA State Wilkensen Sandstone,Cast glass tiles and WA State Wilkensen Sandstone,,,,,0,,0,,ED98.025a-ff (S,,Cornerstones,1272531.41406784,235513.97469319
